A matrix is a|the answer is an array of real numbers|easy|collection of real numbers|an array of real numbers|a rectangular array of real numbers|a collection of real and complex numbers|an array of real numbers
A column matrix has only|The answer is one column with one or more rows|easy|one row and one column|one element|one row with one or more columns|One column with one or more rows|One column with one or more rows
If a is $A\times N$ Matrix, and B is $N\times P$ matrix, then AB is the matrix of the order|the answer is $m\times p$|easy|$m\times n$|$n\times p$|$m\times p$|$p\times m$|$m\times p$
If A and B are a square metric phase of order three, such that $\vert A\vert$= -1, $\vert B\vert$= 3, then $\vert 3AB\vert$ is equal to|the answer is -9|easy|-9|-81|-27|81|-9
If A' the transpose of the square matrix, then|the answer is $\vert A\vert = \vert A'\vert$|medium|$\vert A\vert \neq \vert A'\vert$|$\vert A\vert = \vert A'\vert$|$\vert A\vert + \vert A'\vert$= 0|$\vert A\vert \neq \vert A'\vert$ only when A is symmetric|$\vert A\vert = \vert A'\vert$
A and B are two matrices of the same type. Then (A + B)' is equal to|the answer is A' + B'|easy|A' + B'|A' + B|A + B'|A + B|A' + B'
In an upper triangular matrix A= $[a_{ij}]_{m\times n$ = the elements $a_{ij}$ is equal to zero If|the answer is $i\lt j$|medium|$i\lt j$|$i\gt j$|$i= j$|$i\leq j$|$i\lt j$
If A and B are two matrices then,|the answer is AB not neccesarily defined|easy|AB= BA|AB= 0|AB= I|the answer is AB not neccesarily defined|the answer is AB not neccesarily defined
If A and B are two matrices such that A + B and AB are both defined, then|the answer is A and B are square matrix of same order|easy|A and B can be any matrix|A and B are a square matrices, not necessarily of the same order|Numbers of columns of a is equal to number of rows of B|A and B are square matrix of same order|A and B are square matrix of same order
A is a $3\times 4$ matrix, and B is a matrix such that A'B and BA' are both defined, then B is of the type|the answer is $3\times 4$|medium|$3\times 4$|$4\times 3$|$4\times 4$|$3\times 3$|$3\times 4$
If the Matrix, AB is zero matrix then|the answer is It is not neccesarily either A= O or B= O|easy|A= O 0r B= O|A= O and B= O|It is not neccesarily either A= O or B= O|all statements are wrong|A= O 0r B= O
If A and B be $3\times 3$ metrics, then AB= 0 means|the answer is either $\vert A\vert$= 0 or $\vert B\vert$= 0|easy|A= O or B= O|A= O and B= O|either $\vert A\vert$= 0 or $\vert B\vert$= 0|$\vert A\vert$= 0 and $\vert B\vert$= 0|either $\vert A\vert$= 0 or $\vert B\vert$= 0
If A and B are two square matrices of the same order 3 then|The answer is AB= O $\implies$ $\vert A\vert$= 0 and $\vert B\vert$= 0|easy|(AB)'= A'B'|AB= O $\implies$ $\vert A\vert$= 0 and $\vert B\vert$= 0|AB= O $\implies$ A= 0 or B= 0|AB= O $\implies$ $\vert A\vert$= 0 or $\vert B\vert$= 0|AB= O $\implies$ $\vert A\vert$= 0 and $\vert B\vert$= 0
A and B are arbitrary square matrix of the same order, then|the answer is (AB)'= B'A'|medium|(AB)'= B'A'|(AB)'= A'B'|(A + B)'= A' - B'|A'(B')'= B'A'|(AB)'= B'A'
Which is the following matrices is not invertible|the answer is $\left[\begin{matrix} 2 & 3 \\ 4 & 6 \end{matrix}\right]$|medium|$\left[\begin{matrix} 1 & 1 \\ 0 & 1 \end{matrix}\right]$|$\left[\begin{matrix} 2 & 3 \\ 4 & 6 \end{matrix}\right]$|$\left[\begin{matrix} -1 & -1 \\ -1 & 2 \end{matrix}\right]$|$\left[\begin{matrix} 2 & -2 \\ 1 & 1 \end{matrix}\right]$|$\left[\begin{matrix} 2 & 3 \\ 4 & 6 \end{matrix}\right]$
If I= $\left[\begin{matrix} 1 & 0 \\ 0 & 1 \end{matrix}\right]$, J= $\left[\begin{matrix} 0 & 1 \\ 1 & 0 \end{matrix}\right]$ and B= $\left[\begin{matrix} cos\theta & sin\theta \\ -sin\theta & cos\theta \end{matrix}\right]$, then B is|the answer is $I\cdot cos\theta$ + $J\cdot sin\theta$|medium|$I\cdot cos\theta$ + $J\cdot sin\theta$|$I\cdot cos\theta$ - $J\cdot sin\theta$|$I\cdot sin\theta$ + $J\cdot cos\theta$|$I\cdot sin\theta$ - $J\cdot cos\theta$|$I\cdot cos\theta$ + $J\cdot sin\theta$
If A= $\left[\begin{matrix} i & 0 \\ 0 & i \end{matrix}\right]$, then $A^{2}$ is|the answer is $\left[\begin{matrix} -1 & 0 \\ 0 & -1 \end{matrix}\right]$|medium|$\left[\begin{matrix} 1 & 0 \\ 0 & -1 \end{matrix}\right]$|$\left[\begin{matrix} -1 & 0 \\ 0 & -1 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 0 \\ 0 & 1 \end{matrix}\right]$|$\left[\begin{matrix} -1 & 0 \\ 0 & 1 \end{matrix}\right]$|$\left[\begin{matrix} -1 & 0 \\ 0 & -1 \end{matrix}\right]$
If A= $\left[\begin{matrix} i & 0 \\ 0 & i \end{matrix}\right]$, B= $\left[\begin{matrix} i & 0 \\ 0 & i \end{matrix}\right]$, then AB is|the answer is $\left[\begin{matrix} 1 & 1 \\ 1 & 0 \end{matrix}\right]$|easy|$\left[\begin{matrix} 0 & 0 \\ 0 & 0 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 1 \\ 1 & 0 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 0 \\ 0 & 1 \end{matrix}\right]$|10|$\left[\begin{matrix} 1 & 0 \\ 1 & 0 \end{matrix}\right]$
If A= $\left[\begin{matrix} 1 & 0 & 0 \\ 0 & 1 & 0 \\ a & b & -1 \end{matrix}\right]$|the answer is a unit matrix|medium|A|a unit matrix|a null matrix|-A|a unit matrix
The system of equations $$\begin{array}{ccc} 2x + y= 4 \\ 3x + 2y= 2 \\ x + y= -2 \end{array}$$ have|the answer is one solution|easy|No solution|One solution|Two solutions|Infinitely many solutions|One solution
Let a, b, c, d, u, v be integers. If the system of solutions ax + b= u, cx + dy= v has a unique solution in integers then|the answer is ad - bc\neq 0|easy|ad - bc= 1|ad - bc= -1|ad - bc\neq 0|ad - bx need not be equal to $\pm 1$|ad - bc\neq 0
The point (3, 2) is reflected in the y axis and then moved a distance of five units towards the negative side of Y axis The coordinates of the point thus obtained are|the answer is (-3, -3)|easy|(-3, -3)|(-3, 3)|(3, 3)|(3, -3)|(-3, -3)
If A= $\left[\begin{matrix} 5 & 2 \\ 3 & 1 \end{matrix}\right]$, then $A^{-1}$|the answer is $\left[\begin{matrix} -1 & 2 \\ 3 & -5 \end{matrix}\right]$|easy|$\left[\begin{matrix} 1 & -2 \\ -3 & 5 \end{matrix}\right]$|$\left[\begin{matrix} -1 & 2 \\ 3 & -5 \end{matrix}\right]$|$\left[\begin{matrix} -1 & -2 \\ -3 & -5 \end{matrix}\right]$|$\left[\begin{matrix} 1 & 2 \\ 3 & 5 \end{matrix}\right]$|$\left[\begin{matrix} -1 & 2 \\ 3 & -5 \end{matrix}\right]$
If $I_{n}$ is the identity matrix of order n, then $I^{-1}$|the answer is $I_{n}$|easy|does not exist|$I_{n}$|0|$n\cdot I_{n}$|$I_{n}$
If A and B are symmetric matrixes of order n $(A\neq B)$ then,|the answer is A + B is symmetric|medium|A + B is symmetric|A + B is skew Symmetric|A + B is a diagonal matrix|A + B is zero matrix|A + B is symmetric
Let a be a square matrix, then which of the following is not a symmetric matrix|the answer is A - A'|medium|A + A'|A'A|AA'|A - A'|A - A'
If A= $\left[\begin{matrix} 1 & 2 \\ 2 & 1 \end{matrix}\right]$, then adj A|the answer is $\left[\begin{matrix} 1 & -2 \\ -2 & 1 \end{matrix}\right]$|easy|$\left[\begin{matrix} 1 & -2 \\ -2 & 1 \end{matrix}\right]$|$\left[\begin{matrix} 2 & 1 \\ 1 & 1 \end{matrix}\right]$|$\left[\begin{matrix} 1 & -2 \\ -2 & -1 \end{matrix}\right]$|$\left[\begin{matrix} -1 & 2 \\ 2 & -1 \end{matrix}\right]$|$\left[\begin{matrix} 1 & -2 \\ -2 & 1 \end{matrix}\right]$
If a is the square matrix such that $A^{2}= I$, then $A^{-1}$|the answer is A|easy|2A|A|O|A + I|A
The matrix $\left[\begin{matrix} 0 & 1 \\ 1 & 0 \end{matrix}\right]$ is the matrix reflection in the line|the answer is x= y|easy|x= 1|x + y= 1|y= 1|x= y|x= y
